variable_name,variable,value
serum_sodium,15.0,-0.0008856860310069007
sex,15.0,-0.0015194974226669863
smoking,15.0,-0.002310618825227994
age,20.0,-0.0013029334606091477
creatinine_phosphokinase,20.0,-0.004572644423464535
ejection_fraction,20.0,-0.018215001006159654
platelets,20.0,-0.025798733939393245
serum_creatinine,20.0,-0.00913787828622938
serum_sodium,20.0,-0.0014247784712168778
sex,20.0,-0.0006047655734205905
smoking,20.0,-0.0024908664396960413
age,23.0,0.001992650274173477
creatinine_phosphokinase,23.0,-0.004275078100928792
ejection_fraction,23.0,-0.019461298447202666
platelets,23.0,-0.026295312048704115
serum_creatinine,23.0,-0.004413037686725774
serum_sodium,23.0,-0.0013833618581438427
sex,23.0,-0.00048157573453928024
smoking,23.0,-0.002467486814755603
age,24.0,0.00510950540688825
creatinine_phosphokinase,24.0,-0.0033892398748989563
ejection_fraction,24.0,-0.018851228047211
platelets,24.0,-0.02774148060313655
serum_creatinine,24.0,-0.005757663266034076
serum_sodium,24.0,-0.0017844095251575815
sex,24.0,-0.0004144539635404451
smoking,24.0,-0.0027101166850296617
age,26.0,0.0076070390937635025
creatinine_phosphokinase,26.0,-0.0008485100080479675
ejection_fraction,26.0,-0.019624344908033647
platelets,26.0,-0.02835558462230426
serum_creatinine,26.0,-0.0029081999294908374
serum_sodium,26.0,-0.0006153473202188289
sex,26.0,-0.0009882940742426578
smoking,26.0,-0.0023040774460160104
age,27.0,0.008791679171785485
creatinine_phosphokinase,27.0,-0.0008105689755482595
ejection_fraction,27.0,-0.019314284787996933
platelets,27.0,-0.0279752474600943
serum_creatinine,27.0,-0.0014924294986809414
serum_sodium,27.0,-0.0005409355121179089
sex,27.0,-0.0010099539667327924
smoking,27.0,-0.0023180131786079902
age,28.0,0.008601055125021049
creatinine_phosphokinase,28.0,0.00034683947221844815
ejection_fraction,28.0,-0.019281820727329792
platelets,28.0,-0.02619822687008857
serum_creatinine,28.0,-0.0012434605488868778
serum_sodium,28.0,0.0025316219708763485
sex,28.0,-0.0009840714576385718
smoking,28.0,-0.0024251151032230146
age,29.0,0.009181946687469975
creatinine_phosphokinase,29.0,0.001977220564572759
ejection_fraction,29.0,-0.01708372059440819
platelets,29.0,-0.02804419627877958
serum_creatinine,29.0,-0.0024527475544625834
serum_sodium,29.0,0.002439067570653174
sex,29.0,-0.0011487949975643032
smoking,29.0,-0.0028149374786937864
age,30.0,0.01535052951865102
creatinine_phosphokinase,30.0,0.0005574519389339898
ejection_fraction,30.0,-0.01586883569846648
platelets,30.0,-0.02602586378818242
serum_creatinine,30.0,0.0009621352409586285
serum_sodium,30.0,0.002590586418074103
sex,30.0,-0.0008662576580123781
smoking,30.0,-0.0029307661317107313
age,31.0,0.015542567689143479
creatinine_phosphokinase,31.0,0.00029157491885718653
ejection_fraction,31.0,-0.014329982804125448
platelets,31.0,-0.02584108255010443
serum_creatinine,31.0,0.002446905481536126
serum_sodium,31.0,0.0028600299550570214
sex,31.0,-0.0008830866635994108
smoking,31.0,-0.0027810777778455456
age,32.0,0.011666548431682203
creatinine_phosphokinase,32.0,0.004769899091720399
ejection_fraction,32.0,-0.024704107037482992
platelets,32.0,-0.03557063322212946
serum_creatinine,32.0,0.0002510395893885823
serum_sodium,32.0,0.0008217939990941573
sex,32.0,0.0017723261538456284
smoking,32.0,-0.0023140294005767476
age,33.0,0.012069385477721989
creatinine_phosphokinase,33.0,0.0016236146452666776
ejection_fraction,33.0,-0.020296454139841984
platelets,33.0,-0.042101667528650764
serum_creatinine,33.0,-0.0026644845147745584
serum_sodium,33.0,0.0009444060208166262
sex,33.0,0.0021932208265337035
smoking,33.0,-0.002954705260685287
age,35.0,0.011176704681158936
creatinine_phosphokinase,35.0,0.0014922822282220187
ejection_fraction,35.0,-0.019717230283747663
platelets,35.0,-0.041289812012378656
serum_creatinine,35.0,0.00029802233665394024
serum_sodium,35.0,0.0010542921275993513
sex,35.0,0.0021132669181100987
smoking,35.0,-0.002670006712064548
age,38.0,0.011086667048891594
creatinine_phosphokinase,38.0,-0.0034286954205355108
ejection_fraction,38.0,-0.02269741657963667
platelets,38.0,-0.03939468851036034
serum_creatinine,38.0,-0.001771445622541021
serum_sodium,38.0,0.002089645944868022
sex,38.0,0.0015463605925498866
smoking,38.0,-0.0033067346210337092
age,40.0,0.011230360175837235
creatinine_phosphokinase,40.0,-0.003596595498467105
ejection_fraction,40.0,-0.022023998771135835
platelets,40.0,-0.03769413177105151
serum_creatinine,40.0,-0.0011467936861206125
serum_sodium,40.0,0.0018879997589951673
sex,40.0,0.001436562906868037
smoking,40.0,-0.003209923047750576
age,41.0,0.012713563446686293
creatinine_phosphokinase,41.0,-0.0035993932681245584
ejection_fraction,41.0,-0.021550214824792108
platelets,41.0,-0.03855526872181064
serum_creatinine,41.0,0.0003717267110649638
serum_sodium,41.0,0.002236228780581817
sex,41.0,0.0013970791101799635
smoking,41.0,-0.0032301628034555234
age,42.0,0.011913966626068981
creatinine_phosphokinase,42.0,0.001422587137668314
ejection_fraction,42.0,-0.031228932305342023
platelets,42.0,-0.034513593054386935
serum_creatinine,42.0,-0.001894325053550512
serum_sodium,42.0,0.0021232697052089664
sex,42.0,0.003887872984337055
smoking,42.0,-0.003920434122057256
age,43.0,0.014618690631913994
creatinine_phosphokinase,43.0,0.00024298796514187813
ejection_fraction,43.0,-0.031844167729450326
platelets,43.0,-0.038439553057349064
serum_creatinine,43.0,-0.0026533121536466784
serum_sodium,43.0,0.0009063683717679138
sex,43.0,0.004331605277215441
smoking,43.0,-0.004549159939785199
age,44.0,0.015431642984620693
creatinine_phosphokinase,44.0,0.001016108143075155
ejection_fraction,44.0,-0.03082527372270253
platelets,44.0,-0.037318166566194626
serum_creatinine,44.0,-0.003171778337992214
serum_sodium,44.0,0.0013113830471224632
sex,44.0,0.004486941115841307
smoking,44.0,-0.004604250855616564
age,45.0,0.015225197781639374
creatinine_phosphokinase,45.0,0.0010309175990142934
ejection_fraction,45.0,-0.030391382627405684
platelets,45.0,-0.037021553169525864
serum_creatinine,45.0,-0.0014620728881604048
serum_sodium,45.0,0.002123432199757786
sex,45.0,0.004687156156726213
smoking,45.0,-0.004525947920339541
age,50.0,0.01728283135754138
creatinine_phosphokinase,50.0,0.0007827723746059389
ejection_fraction,50.0,-0.031751452062036355
platelets,50.0,-0.03633707173460171
serum_creatinine,50.0,3.984359252442001e-05
serum_sodium,50.0,0.002767131126181614
sex,50.0,0.004651478016621432
smoking,50.0,-0.004665146835159942
age,55.0,0.01449003834096212
creatinine_phosphokinase,55.0,-0.0034629462356192873
ejection_fraction,55.0,-0.03172771198171329
platelets,55.0,-0.03255684651042856
serum_creatinine,55.0,-0.0029929508837167685
serum_sodium,55.0,0.0017653838361267257
sex,55.0,0.004351380965336453
smoking,55.0,-0.004143169100489452
age,59.0,0.016144834351319512
creatinine_phosphokinase,59.0,-0.0037372245585015652
ejection_fraction,59.0,-0.030533585553029534
platelets,59.0,-0.03230387611300626
serum_creatinine,59.0,-0.003284787681562159
serum_sodium,59.0,0.0011979505857382354
sex,59.0,0.004333497030958654
smoking,59.0,-0.003886842040546944
age,60.0,0.01151132436502032
creatinine_phosphokinase,60.0,-0.008864712524169156
ejection_fraction,60.0,-0.034999381741116206
platelets,60.0,-0.029978661133090945
serum_creatinine,60.0,-0.003535266715899169
serum_sodium,60.0,0.002035900195109823
sex,60.0,0.0037317679064667354
smoking,60.0,-0.004602264980951869
age,61.0,0.00974654834484978
creatinine_phosphokinase,61.0,-0.008995852664182836
ejection_fraction,61.0,-0.034365902877376994
platelets,61.0,-0.02685823454819453
serum_creatinine,61.0,-0.004754428850167389
serum_sodium,61.0,0.0023904291825752348
sex,61.0,0.003571252058445734
smoking,61.0,-0.00492908876513414
age,64.0,0.009728647242443945
creatinine_phosphokinase,64.0,-0.008687776176162275
ejection_fraction,64.0,-0.033580114618027845
platelets,64.0,-0.027932239236447363
serum_creatinine,64.0,-0.0021317352308843885
serum_sodium,64.0,0.003198908247085352
sex,64.0,0.0035107954945785757
smoking,64.0,-0.004865683381769746
age,65.0,0.009330808231568444
creatinine_phosphokinase,65.0,-0.005916389380109678
ejection_fraction,65.0,-0.032678399448103565
platelets,65.0,-0.027586880066172725
serum_creatinine,65.0,-0.0033827650842345423
serum_sodium,65.0,0.0024078763755663738
sex,65.0,0.003730212943840408
smoking,65.0,-0.004811959578377974
age,66.0,0.011558768569754239
creatinine_phosphokinase,66.0,-0.005121957224310023
ejection_fraction,66.0,-0.033310997401043714
platelets,66.0,-0.027261339216187567
serum_creatinine,66.0,-0.003418366141372367
serum_sodium,66.0,0.002896887155718313
sex,66.0,0.004216759442248754
smoking,66.0,-0.0049301445566351295
age,67.0,0.01148362817838524
creatinine_phosphokinase,67.0,-0.004142578936877181
ejection_fraction,67.0,-0.03399864952133251
platelets,67.0,-0.026278652008275748
serum_creatinine,67.0,-0.0013070309041487676
serum_sodium,67.0,0.0028751829658458625
sex,67.0,0.004171860716173222
smoking,67.0,-0.0049596082346669386
age,72.0,0.013414083950741715
creatinine_phosphokinase,72.0,-0.004155631642734431
ejection_fraction,72.0,-0.03405055405685629
platelets,72.0,-0.025874225710363404
serum_creatinine,72.0,-0.001976845920327942
serum_sodium,72.0,0.003799306610208269
sex,72.0,0.004170699107777976
smoking,72.0,-0.004570485208212408
age,73.0,0.015732380437873096
creatinine_phosphokinase,73.0,-0.002662170078467321
ejection_fraction,73.0,-0.030768706771059882
platelets,73.0,-0.025694985192270137
serum_creatinine,73.0,-0.0029652742162263267
serum_sodium,73.0,0.003676031213152337
sex,73.0,0.004058754425194178
smoking,73.0,-0.004027784113867857
age,77.0,0.015770638740662275
creatinine_phosphokinase,77.0,-0.001954868219604281
ejection_fraction,77.0,-0.031417464434869175
platelets,77.0,-0.02667667931566833
serum_creatinine,77.0,-0.0001435009906006142
serum_sodium,77.0,0.004961832169536328
sex,77.0,0.004336609210162398
smoking,77.0,-0.0041072602025348254
age,78.0,0.016672566847530223
creatinine_phosphokinase,78.0,-0.0023485174256706494
ejection_fraction,78.0,-0.03289186877441215
platelets,78.0,-0.025704835246763393
serum_creatinine,78.0,-0.0011070103754742253
serum_sodium,78.0,0.005281953514157782
sex,78.0,0.0054025122945907285
smoking,78.0,-0.004338662861622038
age,82.0,0.01627431819476378
creatinine_phosphokinase,82.0,0.0009365039974234208
ejection_fraction,82.0,-0.03217992850836457
platelets,82.0,-0.02687291277888681
serum_creatinine,82.0,-0.0007151338823814064
serum_sodium,82.0,0.005381454688808157
sex,82.0,0.005069384033101306
smoking,82.0,-0.004985517497499127
age,88.0,0.01932480732997359
creatinine_phosphokinase,88.0,-0.0012953721130331386
ejection_fraction,88.0,-0.04119675227781261
platelets,88.0,-0.02425050464275647
serum_creatinine,88.0,-0.0019091391530676293
serum_sodium,88.0,0.003901763939441776
sex,88.0,0.006287026474090442
smoking,88.0,-0.004468507271182621
age,90.0,0.022297602931669883
creatinine_phosphokinase,90.0,4.9153414999627004e-05
ejection_fraction,90.0,-0.039133627396165
platelets,90.0,-0.02249049587905905
serum_creatinine,90.0,-0.001995529773613708
serum_sodium,90.0,0.003984734360946259
sex,90.0,0.006642957300603377
smoking,90.0,-0.0045186150655473385
age,95.0,0.0238832321535787
creatinine_phosphokinase,95.0,-0.00011643878926031769
ejection_fraction,95.0,-0.038596454839766176
platelets,95.0,-0.02216713406060472
serum_creatinine,95.0,-5.3828690818074694e-05
serum_sodium,95.0,0.004149481603873652
sex,95.0,0.006843056084731432
smoking,95.0,-0.0045370412146181266
age,96.0,0.023543778541484917
creatinine_phosphokinase,96.0,-0.0003877362168944951
ejection_fraction,96.0,-0.038236688406769095
platelets,96.0,-0.022501688659386104
serum_creatinine,96.0,0.0033422418113442914
serum_sodium,96.0,0.005027256370148565
sex,96.0,0.006719164396641738
smoking,96.0,-0.0045386519529812715
age,100.0,0.022966604986051686
creatinine_phosphokinase,100.0,-0.0001891521031715152
ejection_fraction,100.0,-0.03725399426733146
platelets,100.0,-0.021886884951289046
serum_creatinine,100.0,0.004824801188645057
serum_sodium,100.0,0.00581097588297029
sex,100.0,0.006841501870242352
smoking,100.0,-0.004589621020789256
age,109.0,0.027101250396745397
creatinine_phosphokinase,109.0,-0.0009673777721465695
ejection_fraction,109.0,-0.03697115658772421
platelets,109.0,-0.02063234992572694
serum_creatinine,109.0,0.003466768091772422
serum_sodium,109.0,0.006395094861943992
sex,109.0,0.006797787956237192
smoking,109.0,-0.004642015178429678
age,111.0,0.029295823032517522
creatinine_phosphokinase,111.0,-0.00443739480547858
ejection_fraction,111.0,-0.039377008923872164
platelets,111.0,-0.01861758426899218
serum_creatinine,111.0,0.0034893164569935776
serum_sodium,111.0,0.006312570413190357
sex,111.0,0.006450209852746941
smoking,111.0,-0.004400747747421586
age,113.0,0.031875535268261874
creatinine_phosphokinase,113.0,-0.0038055953046082654
ejection_fraction,113.0,-0.04371991215240789
platelets,113.0,-0.018621880795288797
serum_creatinine,113.0,0.006466130447135521
serum_sodium,113.0,0.00611769497982398
sex,113.0,0.005891582356236184
smoking,113.0,-0.004570139630512209
age,115.0,0.03224092613484969
creatinine_phosphokinase,115.0,-0.0034029641057792682
ejection_fraction,115.0,-0.043239123645047534
platelets,115.0,-0.018589166182371223
serum_creatinine,115.0,0.00955213088451175
serum_sodium,115.0,0.005831782134130705
sex,115.0,0.006190215621734404
smoking,115.0,-0.004611388755168188
age,126.0,0.0294371208211716
creatinine_phosphokinase,126.0,-0.0065506266533630645
ejection_fraction,126.0,-0.04224647011079413
platelets,126.0,-0.03256556371681874
serum_creatinine,126.0,0.007800506824729749
serum_sodium,126.0,0.007098111507123298
sex,126.0,0.008053627045689777
smoking,126.0,-0.00464500844020047
age,129.0,0.01656037707080708
creatinine_phosphokinase,129.0,-0.018535732923594853
ejection_fraction,129.0,-0.07368807733404233
platelets,129.0,-0.02586208055187258
serum_creatinine,129.0,0.00019144056975456435
serum_sodium,129.0,0.00708076483683988
sex,129.0,0.006393377801066496
smoking,129.0,-0.006413034101324128
age,130.0,0.02196795384845259
creatinine_phosphokinase,130.0,-0.01984077628661641
ejection_fraction,130.0,-0.07296620770029297
platelets,130.0,-0.027112872563544974
serum_creatinine,130.0,-0.0004491442280355996
serum_sodium,130.0,0.008270556745298419
sex,130.0,0.006844592019457282
smoking,130.0,-0.006534587577531108
age,135.0,0.02172914719786167
creatinine_phosphokinase,135.0,-0.019187338390845323
ejection_fraction,135.0,-0.07206275429322513
platelets,135.0,-0.02791567452730979
serum_creatinine,135.0,0.0025606338741455763
serum_sodium,135.0,0.008336331951504445
sex,135.0,0.0067413755276656065
smoking,135.0,-0.006600946753932864
age,150.0,0.022340689251495998
creatinine_phosphokinase,150.0,-0.016430733412139867
ejection_fraction,150.0,-0.07588171402643852
platelets,150.0,-0.028692426586472614
serum_creatinine,150.0,-0.0004630640293372506
serum_sodium,150.0,0.0060658779306866275
sex,150.0,0.005770319307870853
smoking,150.0,-0.005723419441719758
age,154.0,0.025266327153521933
creatinine_phosphokinase,154.0,-0.017714489638594712
ejection_fraction,154.0,-0.07859086826894537
platelets,154.0,-0.024466946605843053
serum_creatinine,154.0,-0.00046007885510048054
serum_sodium,154.0,0.004766089613510945
sex,154.0,0.005295999637170498
smoking,154.0,-0.005242783273431809
age,162.0,0.02573792019622438
creatinine_phosphokinase,162.0,-0.01714916826680352
ejection_fraction,162.0,-0.07793333151828115
platelets,162.0,-0.024551589934621046
serum_creatinine,162.0,0.0024402856567475074
serum_sodium,162.0,0.005247989173619523
sex,162.0,0.005114382322471384
smoking,162.0,-0.005257648208063298
age,170.0,0.02524970687626889
creatinine_phosphokinase,170.0,-0.013226301695523046
ejection_fraction,170.0,-0.07863339927399625
platelets,170.0,-0.025236027894080387
serum_creatinine,170.0,0.0032414805714331514
serum_sodium,170.0,0.002759484057788233
sex,170.0,0.004866596399162659
smoking,170.0,-0.004637005257508077
age,171.0,0.024875677594552153
creatinine_phosphokinase,171.0,-0.007277965554252532
ejection_fraction,171.0,-0.08673228259557142
platelets,171.0,-0.020981353684888543
serum_creatinine,171.0,0.0038396711872604066
serum_sodium,171.0,0.0016974101824259991
sex,171.0,0.0043944401398266384
smoking,171.0,-0.004942902204764116
age,172.0,0.0173247552944475
creatinine_phosphokinase,172.0,-0.012396084969706223
ejection_fraction,172.0,-0.0859631473051027
platelets,172.0,-0.0332431065751938
serum_creatinine,172.0,0.010637681541241945
serum_sodium,172.0,0.002083117006376559
sex,172.0,0.008162610599994295
smoking,172.0,-0.005753494241158202
age,180.0,0.01449261695809678
creatinine_phosphokinase,180.0,-0.01354583423066511
ejection_fraction,180.0,-0.0830756706519278
platelets,180.0,-0.03848441137932349
serum_creatinine,180.0,0.014849674527650061
serum_sodium,180.0,0.0009407355608586154
sex,180.0,0.007660576266163677
smoking,180.0,-0.006373662707390967
age,193.0,0.012135748909756173
creatinine_phosphokinase,193.0,-0.011522229299775182
ejection_fraction,193.0,-0.08888118953296929
platelets,193.0,-0.03357463629818263
serum_creatinine,193.0,0.014703520970577076
serum_sodium,193.0,0.003215525187030483
sex,193.0,0.00849670418480571
smoking,193.0,-0.006456903363009171
age,196.0,0.010048504467380629
creatinine_phosphokinase,196.0,-0.012228012694705739
ejection_fraction,196.0,-0.08621879419308297
platelets,196.0,-0.037426976947747374
serum_creatinine,196.0,0.0210765261867125
serum_sodium,196.0,0.0013259678365870288
sex,196.0,0.009237725141239661
smoking,196.0,-0.006637034372564077
age,198.0,0.010633907446776975
creatinine_phosphokinase,198.0,-0.012700031278654733
ejection_fraction,198.0,-0.08428148198292072
platelets,198.0,-0.037026534396830485
serum_creatinine,198.0,0.02350941367652652
serum_sodium,198.0,0.0015327559570509142
sex,198.0,0.009142335503591788
smoking,198.0,-0.006792851702642183
age,207.0,0.010858189621380094
creatinine_phosphokinase,207.0,-0.011691420965936583
ejection_fraction,207.0,-0.09142968456554229
platelets,207.0,-0.04846766626435489
serum_creatinine,207.0,0.022806057078672736
serum_sodium,207.0,0.005910918776891006
sex,207.0,0.010876499063365396
smoking,207.0,-0.006962809132587303
age,214.0,0.014154947659612558
creatinine_phosphokinase,214.0,-0.020449560584310984
ejection_fraction,214.0,-0.09515754428691374
platelets,214.0,-0.03861906710962139
serum_creatinine,214.0,0.0162849897966418
serum_sodium,214.0,0.0025892593127560862
sex,214.0,0.009755653028849828
smoking,214.0,-0.008303039637426873
age,235.0,0.019679669059953643
creatinine_phosphokinase,235.0,-0.0196146159241476
ejection_fraction,235.0,-0.09726616320738908
platelets,235.0,-0.0396514860449457
serum_creatinine,235.0,0.01475260700984196
serum_sodium,235.0,0.008397366050252519
sex,235.0,0.009493822781174853
smoking,235.0,-0.009303296151329098
age,241.0,0.018395093318381354
creatinine_phosphokinase,241.0,-0.022270188010649932
ejection_fraction,241.0,-0.09601528055546177
platelets,241.0,-0.03838431100761429
serum_creatinine,241.0,0.020211922835781986
serum_sodium,241.0,0.008585956678383659
sex,241.0,0.009416270416261762
smoking,241.0,-0.009090085987707882
